,rank,total,schoolInfo,admissionRank,sportsRank,artsRank,uniformedGroupsRank,schoolName,schoolArea,School,Avail,Apply,Ballot,Note
35,36,186,"{'schoolSlug': 'mayflower-primary-school', 'schoolCode': '1151', 'schoolName': 'Mayflower Primary School', 'schoolNameZh': '美华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/mayflower-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.mayflowerpri.moe.edu.sg', 'address': '200 Ang Mo Kio Avenue 5', 'schoolArea': 'Ang Mo Kio', 'postalCode': '569878', 'tel': '64520849', 'email': 'mayflower_ps@moe.edu.sg', 'latitude': 1.37614621670478, 'longitude': 103.835805246743, 'nearestSlugs': ['chij-st-nicholas-girls-school', 'ang-mo-kio-primary-school', 'anderson-primary-school', 'ai-tong-school', 'jing-shan-primary-school', 'teck-ghee-primary-school', 'catholic-high-school', 'townsville-primary-school', 'kuo-chuan-presbyterian-primary-school', 'guangyang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Hearing loss (Signing approach)', 'Allied educators (Learning and behavioural support)'], 'schoolMission': ""Touching Hearts:We care for my pupils and lead them to believe in themselves.Engaging Minds:As lead learners, we inspire our pupils to think creatively and have inquiring minds.Nurturing Talents:We seek to uncover our pupils' talents and lead them to maximise their potential."", 'schoolVision': 'Our Pupils, Exemplary Citizens of Tomorrow.Our pupils are of sound character and imbibed with right values; love Singapore and lead and serve the community; are engaged learners who are future-ready; are physically active, living healthy lifetyles; and appreciate the Arts developing artistic dispositions', 'schoolEchos': [""At Mayflower Primary School, we believe that the purpose of education is to prepare every child for the real world. Hence, the school recognises the importance of building a strong, broad-based education that opens up students' horizons and exposes them to varied, holistic learning experiences. Success goes beyond academic achievements as we help our pupils pursue their dreams by capitalising on their strengths, interests and talents. We strive to engage each child to discover what makes school and learning worth their time, energy and effort, thereby inspiring them to take greater ownership of their learning."", 'The school aspires to build a culture of care, excellence, openness and trust. A learner is motivated to excel when there are clear, high expectations set and high levels of support provided. Setting high standards serves to keep learners engaged in a challenging task. It also enhances their confidence and self-esteem when the goals are achieved. High expectations should be accompanied by high levels of support so as to minimise frustration and abortion of plans due to early failures. Teachers are key to effective pupil learning.  We are committed to building a team of caring and excellent educators who believe in bringing out the best in each child. We place premium on establishing quality teacher-student relationships, thereby creating a safe, conducive and vibrant environment for learning. Our teachers are role models of lifelong learning who continually re-examine their professional practice and keep abreast of educational trends and development.', 'Nurturing the whole child is a shared responsibility between the school and family and we seek to build a strong partnership with parents to bring out the best in each child.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,55,7,17,Mayflower Primary School,Ang Mo Kio,Mayflower Primary School,77.0,59.0,,
45,46,186,"{'schoolSlug': 'kheng-cheng-school', 'schoolCode': '5608', 'schoolName': 'Kheng Cheng School', 'schoolNameZh': '擎青学校', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/kheng-cheng-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government-Aided School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.khengcheng.moe.edu.sg/', 'address': '15 Lorong 3 Toa Payoh', 'schoolArea': 'Toa Payoh', 'postalCode': '319580', 'tel': '62552502', 'email': 'kcs@moe.edu.sg', 'latitude': 1.33733819356392, 'longitude': 103.847148501824, 'nearestSlugs': ['chij-primary-toa-payoh', 'marymount-convent-school', 'guangyang-primary-school', 'first-toa-payoh-primary-school', 'pei-chun-public-school', 'kuo-chuan-presbyterian-primary-school', 'catholic-high-school', 'hong-wen-school', 'st-andrew-s-junior-school', 'st-joseph-s-institution-junior'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)', 'Physical impairment'], 'schoolMission': 'Empowering every child to lead and impact the community, and be ready for the future.', 'schoolVision': 'A dynamic community of compassionate leaders and critical thinkers', 'schoolEchos': ['Roots to Anchor, Wings to Fly', 'Kheng Cheng School believes that every student deserves a chance to learn and grow, well and strong, in both their studies and in character. We want our students to have strong roots in their values, for their families and the larger community. It is the strong roots that would enable them to weather the storms of life; present and future.', 'We also aspire for the students to have wings to fly, beyond their current circumstance and mindsets about themselves. We want the students go beyond the limits and boundaries they have set in their minds for and about themselves. We believe that the school would have succeeded, if we are able to develop our students to surpass us in all that we are, and do. We believe that if we put care in our thoughts, deeds and work as a school community, the labour in every endeavour will not be in vain.'], 'motherTongues': ['Chinese', 'Malay'], 'affiliatedSchools': []}",93,71,71,14,Kheng Cheng School,Toa Payoh,Kheng Cheng School,30.0,55.0,N,This school only has places for Singapore Citizen children residing within 1km of the school. No balloting will be conducted.
46,47,186,"{'schoolSlug': 'haig-girls-school', 'schoolCode': '1038', 'schoolName': ""Haig Girls' School"", 'schoolNameZh': '海格女校', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/haig-girls-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': ""Girls' School"", 'schoolSession': 'Single Session', 'website': 'https://www.haiggirls.moe.edu.sg', 'address': '51 Koon Seng Road', 'schoolArea': 'Geylang', 'postalCode': '427072', 'tel': '63440293', 'email': 'haiggirlssch@moe.edu.sg', 'latitude': 1.31194344271385, 'longitude': 103.902902557195, 'nearestSlugs': ['chij-katong-primary', 'tao-nan-school', 'eunos-primary-school', 'kong-hwa-school', 'st-stephen-s-school', 'ngee-ann-primary-school', 'maha-bodhi-school', 'geylang-methodist-school-primary', 'telok-kurau-primary-school', 'opera-estate-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture self-directed learners and critical and creative thinkers who lead and serve with integrity and compassion.', 'schoolVision': 'Leaders of Character, Striving for Excellence in a Vibrant School', 'schoolEchos': [""Established in 1951, Haig Girls' School (HGS) is an all-girls' government primary school.  Our school has a heritage of excellent all-round education.  Nurturing character, leadership and creativity is the hallmark of an education at HGS that has endured over the decades. We believe in nurturing the whole child and preparing our pupils for life through a distinctive learning experience that is values-based, engaging, rigorous and innovative."", ""Our shared values are encapsulated in our I4Cs: Integrity, Commitment, Concern, Cooperation, and Creativity. Guided by our school motto 'Ars Potens Est' ('Knowledge is Power'), we strive to nurture every Haig girl to use her knowledge, skills and talents in service to the school, community and nation.   We believe that our pupils are never too young to make a difference and give them a voice through advocacy, service, creative expression and innovation."", 'HGS is a second home to our pupils - a safe, nurturing environment for them to be themselves and to grow and learn. We believe in the uniqueness and worth of every child - each child is different, special and talented in her own way and we seek to bring out the best in her. We love, value and accept each child for who she is regardless of her results or achievements, but we hold her to high expectations. In HGS, we would like each child to take responsibility for her learning and develop an intrinsic motivation to learn, grow and excel. We believe in a growth mindset -- with effort, perseverance and resilience, every child can think, learn, achieve and excel.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",81,58,58,60,Haig Girls' School,Geylang,Haig Girls' School,10.0,28.0,N,This school only has places for Singapore Citizen children residing within 1km of the school. No balloting will be conducted.
55,56,186,"{'schoolSlug': 'xishan-primary-school', 'schoolCode': '1227', 'schoolName': 'Xishan Primary School', 'schoolNameZh': '西山小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/xishan-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.xishanpri.moe.edu.sg/', 'address': '8 Yishun Street 21', 'schoolArea': 'Yishun', 'postalCode': '768611', 'tel': '67588837', 'email': 'xishan_ps@moe.edu.sg', 'latitude': 1.43347186925066, 'longitude': 103.837755319448, 'nearestSlugs': ['yishun-primary-school', 'ahmad-ibrahim-primary-school', 'chongfu-school', 'jiemin-primary-school', 'huamin-primary-school', 'north-view-primary-school', 'northland-primary-school', 'naval-base-primary-school', 'peiying-primary-school', 'sembawang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To create opportunities where passions are ignited, potentials discovered and dreams realised.', 'schoolVision': 'Every Xishanite, A Lifelong Learner, A Contributing Citizen', 'schoolEchos': ['In Xishan, our Motto: Love, Care and Share, forms the pillar of creating an inviting environment for Xishanites to explore and to take advantage of a plethora of opportunities created for them. These opportunities are integral to the student centric, values driven education in Xishan. With the philosophy of ""Every child can and wants to learn"", the school commits to the School Mission: Creating Opportunities Where Passions are Ignited, Potential discovered and Dreams Realised. We aim to inspire our Xishanites to discover their interests and talents and create meaningful learning experiences to develop them holistically. We hope to empower Xishanites to be leaders, equipped with essential life-skills to navigate towards achieving their dreams. Values define a person#s character and shape the beliefs, attitudes and actions of a person. Underpinned by our 4 core values (Self-Discipline, Integrity, Respect and Resilience), the school endeavours to develop every Xishanite to become flourishing and thriving individuals, learners and citizens, fulfilling the School Vision: Every Xishanite, a Lifelong Learner, a Contributing Citizen.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",121,13,78,63,Xishan Primary School,Yishun,Xishan Primary School,51.0,76.0,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
59,60,186,"{'schoolSlug': 'telok-kurau-primary-school', 'schoolCode': '1218', 'schoolName': 'Telok Kurau Primary School', 'schoolNameZh': '德乐小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/telok-kurau-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.telokkuraupri.moe.edu.sg', 'address': '50 Bedok Reservoir Rd', 'schoolArea': 'Bedok', 'postalCode': '479239', 'tel': '62441600', 'email': 'telokkuraups@moe.edu.sg', 'latitude': 1.3310458544135, 'longitude': 103.910934011337, 'nearestSlugs': ['eunos-primary-school', 'maha-bodhi-school', 'damai-primary-school', 'st-stephen-s-school', 'opera-estate-primary-school', 'haig-girls-school', 'fengshan-primary-school', 'yu-neng-primary-school', 'red-swastika-school', 'chij-katong-primary'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To Nurture Our Students to Become Values-Centred Individuals and Lifelong Learners', 'schoolVision': 'A Caring School That Strives For Excellence', 'schoolEchos': ['School Philosophy', 'Committed to providing an all-round education in a caring environment so as to bring out the best in every child', 'Culture of Care and Excellence', 'A strong emphasis on the well-being and growth of students and our staff is part of our culture. We put our students first and provide for their socio-emotional needs, through the curriculum, co-curricular and positive relationship building efforts.', 'The core values in Telok Kurau Primary School reflect those of the Character and Citizenship Education syllabus.', 'These core values are Respect, Responsibility, Resilience, Integrity, Care, Harmony and Harmony.', 'These values are fundamental for a person to be of good character and a useful citizen of Singapore. They guide students to discern between right and wrong, help them to make responsible choices and become more aware of their roles in society.', ""Recognition is done via initiatives such as 'Catch Them Doing Right', the 'Roll of Honour' (ROH) programme, highlighting of good behaviour at assemblies, academic awards, as well as the Edusave Character Award (ECHA)."", 'Telok Kurau Primary also advocates the growth mindset, and continually pushes for improvement and innovation as part of our pursuit of excellence.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,52,50,50,Telok Kurau Primary School,Bedok,Telok Kurau Primary School,12.0,28.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
65,66,186,"{'schoolSlug': 'xingnan-primary-school', 'schoolCode': '1731', 'schoolName': 'Xingnan Primary School', 'schoolNameZh': '醒南小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/xingnan-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.xingnanpri.moe.edu.sg', 'address': '5 Jurong West Street 91', 'schoolArea': 'Jurong West', 'postalCode': '649036', 'tel': '67913679', 'email': 'xingnan_ps@moe.edu.sg', 'latitude': 1.34254744877696, 'longitude': 103.687950252103, 'nearestSlugs': ['juying-primary-school', 'pioneer-primary-school', 'jurong-west-primary-school', 'west-grove-primary-school', 'frontier-primary-school', 'westwood-primary-school', 'corporation-primary-school', 'boon-lay-garden-primary-school', 'lakeside-primary-school', 'rulang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To provide a vibrant environment that nurtures minds and builds character', 'schoolVision': 'A Self Directed Learner,A Gracious Citizen', 'schoolEchos': ['We believe that every child is of worth and can learn.', 'Through a balanced education and a supportive environment, every Xingnanian can reach his/her highest potential.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",130,10,35,118,Xingnan Primary School,Jurong West,Xingnan Primary School,123.0,33.0,,
69,70,186,"{'schoolSlug': 'zhenghua-primary-school', 'schoolCode': '1240', 'schoolName': 'Zhenghua Primary School', 'schoolNameZh': '正华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/zhenghua-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.zhenghuapri.moe.edu.sg', 'address': '9 Fajar Road', 'schoolArea': 'Bukit Panjang', 'postalCode': '679002', 'tel': '67697478', 'email': 'zhenghua_ps@moe.edu.sg', 'latitude': 1.37954887512233, 'longitude': 103.769313521752, 'nearestSlugs': ['bukit-panjang-primary-school', 'beacon-primary-school', 'greenridge-primary-school', 'west-view-primary-school', 'west-spring-primary-school', 'chij-our-lady-queen-of-peace', 'teck-whye-primary-school', 'south-view-primary-school', 'yew-tee-primary-school', 'st-anthony-s-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Through a dynamic school culture and a caring environment, every student is nurtured and his/her potential developed so that he/she grows up to be a good person and useful citizen.', 'schoolVision': 'Every student of Zhenghua is of good character, and is academically and culturally vibrant.', 'schoolEchos': [""At Zhenghua Primary School, we are guided by our motto 'The Best That We Can Be' and our philosophy that 'Every child can learn and is capable of achieving his/her personal best'.  We offer a student-centric, values-driven education with opportunities for talent development."", ""The notion 'Students Our Focus, Staff Our Key' continues to be the nucleus of the school culture framework.  We believe in providing a caring, inclusive and positive school environment for all.  Through a culture of care, students are guided by values to do the right things.  Through a culture of learning, students are motivated to learn, to give their personal best, and to hone their 21st century competencies.  Through a culture of innovation, students will learn to be inquisitive, imaginative and see interconnections.  The culture of collaboration allows our students to build team values, hone their social-emotional skills and learn to give back to the community."", ""The spirit of life-long learning is imbued deeply in our staff.  Our staff has embarked on the Professional Learning Community journey since 2010 where professional discourse takes place on a weekly basis to encourage reflection and innovative practices.  Lesson Study is one of the tools used by teachers to analyse the effectiveness of learning and teaching.  We aim to inculcate a habit of graciousness with the ability to appreciate the finer aspects of life through active engagement in the aesthetics and sports.  Our Learning for Life Programme 'Aesthetics Appreciation through Dance Arts Education' serves to provide students with a variety of exposure and opportunities to experience quality arts programmes.  The school believes in establishing strong partnerships with key stakeholders and the community, both local and global, to enhance the overall quality of education.  We strongly believe that 'It takes a whole village to raise a child'.  At ZHPS, we walk the journey together with every child.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",128,146,9,22,Zhenghua Primary School,Bukit Panjang,Zhenghua Primary School,23.0,25.0,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
71,72,186,"{'schoolSlug': 'north-view-primary-school', 'schoolCode': '1740', 'schoolName': 'North View Primary School', 'schoolNameZh': '德贤小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/north-view-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.northviewpri.moe.edu.sg', 'address': '210 Yishun Avenue 6', 'schoolArea': 'Yishun', 'postalCode': '768960', 'tel': '67593235', 'email': 'nvps@moe.edu.sg', 'latitude': 1.42752327193729, 'longitude': 103.848190787869, 'nearestSlugs': ['huamin-primary-school', 'northland-primary-school', 'xishan-primary-school', 'chongfu-school', 'naval-base-primary-school', 'yishun-primary-school', 'ahmad-ibrahim-primary-school', 'jiemin-primary-school', 'peiying-primary-school', 'sembawang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'A vibrant and caring environment that empowers Northviewans to aspire, grow and excel.', 'schoolVision': 'Passionate Learners, Caring Leaders', 'schoolEchos': ['At North View Primary School, our tagline, ""We are Full-House"" essentially conveys our value proposition and commitment to our stakeholders that we will be a school that will engender an environment to develop every child to his fullest potential. We will envision to achieve the following 3 key outcomes of the school:', '1. Fully developed pupils', '2. Fully engaged pupils', '3. Fully empathetic pupils', 'In Fully Developed pupils, the school envisions for each child to be:', '- developed in all faculties; character, leadership, cognitive, meta-cognitive, physical, aesthetics, social and emotional; and', '- supported from his level of capacity and in his gifting and interest', 'In Fully Engaged pupils, the school aspires for all its children to:', '- love to learn;', '- take the initiative to learn; and', '- actively participate to learn', 'In Fully Empathetic pupils, the school wants to see its children:', '- respecting others;', '- helping others; and', '- growing others', 'In nurturing the children entrusted to our care, we will be guided by our creed - The North View Way; ""Doing it right, Doing it well"". Through our offering of a student-centric, values-driven education, undergirded by the school core values of graciousness, Integrity, Resilience, Respect and Responsibility, we will lead our pupils to pursue excellence in character and performance in both academic and non-academic domains.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",106,159,36,12,North View Primary School,Yishun,North View Primary School,26.0,58.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
73,74,186,"{'schoolSlug': 'east-spring-primary-school', 'schoolCode': '1755', 'schoolName': 'East Spring Primary School', 'schoolNameZh': '东源小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/east-spring-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.eastspringpri.moe.edu.sg', 'address': '31 Tampines St 33', 'schoolArea': 'Tampines', 'postalCode': '529258', 'tel': '67866192', 'email': 'esps@moe.edu.sg', 'latitude': 1.35268400746359, 'longitude': 103.961676849165, 'nearestSlugs': ['chongzheng-primary-school', 'angsana-primary-school', 'yumin-primary-school', 'white-sands-primary-school', 'gongshang-primary-school', 'tampines-north-primary-school', 'changkat-primary-school', 'tampines-primary-school', 'pasir-ris-primary-school', 'casuarina-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Nurturing Caring Citizens and Independent Learners.', 'schoolVision': 'Gracious School, Life-long Learners', 'schoolEchos': ['East Spring Primary School believes that every student, also known as E\'Light, is unique.  With passion and dedication, we can develop their potential and inspire them to realise their dreams.  Our school culture begins with the taglines, ""Reflect and Grow"", aligned with our school vision of developing life-long learners and ""Others before Self"" which is in line with the school vision and mission of developing caring and gracious individuals.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,30,22,126,East Spring Primary School,Tampines,East Spring Primary School,55.0,26.0,,
76,77,186,"{'schoolSlug': 'zhangde-primary-school', 'schoolCode': '1199', 'schoolName': 'Zhangde Primary School', 'schoolNameZh': '彰德小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/zhangde-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.zhangdepri.moe.edu.sg/', 'address': '51 Jalan Membina', 'schoolArea': 'Bukit Merah', 'postalCode': '169485', 'tel': '62740357', 'email': 'zhangde_ps@moe.edu.sg', 'latitude': 1.28421153335382, 'longitude': 103.825951875662, 'nearestSlugs': ['alexandra-primary-school', 'radin-mas-primary-school', 'chij-kellock', 'gan-eng-seng-primary-school', 'river-valley-primary-school', 'cantonment-primary-school', 'blangah-rise-primary-school', 'queenstown-primary-school', 'st-margaret-s-primary-school', 'anglo-chinese-school-junior'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture thinking individuals and gracious citizens', 'schoolVision': 'Learning School GIVER3S Heart', 'schoolEchos': [""The school's vision of 'A Learning School with a GIVER3S Heart' is progressively realized through the strategic thrusts of Nurturing Self-directed and confident learners, Developing Exemplary Character & Active Citizenry, Building Quality Staff and Forging Partnerships. They guide the school in its commitment towards the creation of school experiences that are memorable, enriching and inspiring."", ""This is in line with the school's mission 'To nurture thinking individuals and gracious citizens' and we are anchored and guided by the school GIVER3S values of: Graciousness, Integrity, Versatility, Empathy, Responsibility, Respect, Resilience and Sincerity."", 'The school also builds on a culture of care and collaboration for staff.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",98,90,126,22,Zhangde Primary School,Bukit Merah,Zhangde Primary School,1.0,8.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
